大黄、炒牵牛子、槟榔、人参、朱砂	消食导滞，祛痰通便
榜嘎、波棱瓜子、秦艽花、印度獐牙菜、巴夏嘎、苦荬菜、洪连、小檗皮、节裂角茴香、金腰草、人工牛黄、红花、止泻木子	清热解毒，凉肝利胆
翼首草、榜嘎、节裂角茴香、天竺黄、红花、檀香、安息香、莪大夏、铁棒锤叶、五灵脂膏、牛黄、麝香	清热解毒，防疫
沉香、藏木香、檀香、紫檀香、红花、肉豆蔻、高山辣根菜、悬钩子茎（去皮、心）、宽筋藤（去皮）、干姜、石灰华、广枣、诃子（去核）、毛诃子（去核）、余甘子	调和气血，止咳，安神
党参、炒白术、茯苓、炙甘草、当归、川芎、酒白芍、熟地黄、炙黄芪、肉桂	温补气血
冬青叶、石榴、石膏、肉桂、豆蔻、木香、丁香、甘草、白葡萄干、沉香、拳参、荜苃、肉豆蔻、红花、广枣、方海	宽胸顺气，止嗽定喘
天花粉、乌梅肉、枇杷叶、麦冬、五味子、瓜蒌、人参、黄芪、粉葛、檀香	益气养阴，生津止渴
樟脑、干姜、大黄、小茴香、肉桂、辣椒、桉油	健胃，祛暑
香附（醋炙）、乌药、檀香、延胡索（醋炙）、香橼、蒲黄、沉香、厚朴（姜汁炙）、零陵香、降香、丁香、五灵脂（醋炙）、木香、香排草、砂仁、乳香（醋炙）、高良姜、熟大黄	疏气解郁，散寒止痛
沉香、丁香、檀香、土木香、醋香附、降香、广藿香、乳香（醋炙）、天麻、僵蚕（麸炒）、郁金、莲子心、瓜蒌子（蜜炙）、煅金礞石、诃子肉、甘草、苏合香、安息香、人工麝香、冰片、朱砂、琥珀、牛黄	开窍化痰，镇静安神
穿心莲、千里光	清热解毒，消炎止痛，止泻止痢
千里光、卷柏、羌活、决明子、麻黄、川芎、白芷	清热解毒，活血祛风，宣肺通窍
同千金止带丸（水丸）	健脾补肾，调经止带
党参、炒白术、当归、白芍、川芎、醋香附、木香、砂仁、小茴香（盐炒）、醋延胡索、盐杜仲、续断、盐补骨脂、鸡冠花、青黛、椿皮（炒）、煅牡蛎	健脾补肾，调经止带
党参、黄芪、龙眼肉	益气，健脾，养血
皂矾、黄芪、山楂、新阿胶、大枣	补气养血
苍术、柴胡、羌活、防风、白芷、川芎、广藿香、前胡、连翘、陈皮、山楂、枳实、炒麦芽、甘草、桔梗、紫苏叶、厚朴、红茶、六神曲（炒）	祛风解表，化湿和中
法半夏、天麻、炙黄芪、人参、苍术（米泔炙）、炒白术、茯苓、陈皮、泽泻、六神曲（麸炒）、炒麦芽、黄柏	健脾祛湿，化痰息风
姜厚朴、木香、麸炒枳实、大黄	行气消胀，宽中除满
人参、制何首乌、党参、黄芪、熟地黄、山药、丹参、枸杞子、白芍、远志、茯神、石菖蒲、黄芩、葛根、粉葛、酸枣仁、麦冬、龙骨（粉）、香附、菊花、卵磷脂、维生素	补肾填精，益气养血，强身健脑
红参、川芎、桂枝	益气通阳，活血化瘀
红参、黄芪、黄精、茯苓、白术、葛根、五味子、黄连、大黄、甘草	益气养阴，生津止渴
白芍、人参茎叶总皂苷	活血化瘀，益气止痛
南五味子、党参、黄芪、炒酸枣仁	健脾益气，宁心安神
人参（去芦）、黄芪、当归、天麻、熟地黄、泽泻、决明子、鹿角、菟丝子、细辛、枸杞子	补脾益气
党参、黄芪	补气扶正
人参茎叶总皂苷、黄芪、地黄、山药、天花粉、覆盆子、麦冬、五味子、枸杞子、泽泻、茯苓	益气滋阴补肾
党参、紫苏叶、葛根、前胡、茯苓、半夏（制）、陈皮、枳壳（炒）、桔梗、甘草、木香	益气解表，疏风散寒，祛痰止咳
人参、茯苓、麸炒白术、山药、炒白扁豆、莲子、麸炒薏苡仁、砂仁、桔梗、甘草	补脾胃，益肺气
人参、茯苓、白术（炒）、山药、白扁豆（炒）、莲子、薏苡仁（炒）、砂仁、桔梗、甘草	补脾胃，益肺气
党参、龙眼肉、菟丝子（盐炙）、香附（醋制）、茯苓、山药、艾叶（醋制）、白术（炒）、黄芩、熟地黄、白芍、阿胶、炙甘草、当归、桑寄生、川芎（酒制）、羌活、续断、鹿茸、杜仲、川贝母、砂仁、化橘红	滋养肝肾，补血安胎
当归、山药（炒）、酒白芍、茯苓、山茱萸、杜仲（炭）、枸杞子、牡丹皮、鹿茸血、盐泽泻、熟地黄、五味子、鹿茸（去毛）、菟丝子（酒制）、红参	补气养血
人参、鹿茸（酒制）、党参（炙）、酒当归、熟地黄、黄芪（酒制）、酒白芍、川芎（酒制）、延胡索（制）、胡芦巴（盐炙）、酒续断、白术（制）、香附（制）、砂仁、益母草（酒制）、酒黄芩、桑寄生（蒸）、炙甘草	益气补血，调经安胎
人参、附子（制）、桑白皮、猪苓、葶苈子、大黄	益气助阳，强心利水
丹参、牡丹皮	活血化瘀，通脉止痛
金银花、虎杖、黄连、瓜蒌、白花蛇舌草、蒲公英、丹参、野菊花、紫花地丁、法半夏、麸炒枳实、甘草	清热利湿，化痰宽中，理气活血
金银花、黄芩、连翘	疏风解表，清热解毒
连翘、金银花、黄芩	驱风清热，解毒退翳
金银花、黄芩、连翘	疏风解表，清热解毒
儿茶、马槟榔、薄荷、乌梅肉、硼砂、诃子、山豆根、冰片、甘草	清热降火，生津止渴
天冬、麦冬、玄参、山银花、甘草	滋阴清热，解毒消肿
青黛、枯矾、冰片	清热，消肿，止痛
熟地黄、炮附片、肉桂、山药、酒萸肉、菟丝子、鹿角胶、枸杞子、当归、盐杜仲	温补肾阳，填精止遗
人参、麸炒白术、茯苓、甘草、陈皮、山药、莲子（炒）、炒山楂、六神曲（炒）、炒麦芽、泽泻	健脾和胃
人参、麸炒白术、茯苓、甘草、陈皮、山药、炒莲子、炒山楂、炒六神曲、炒麦芽、泽泻	健脾和胃
党参、麸炒白术、苍术（米泔炙）、茯苓、甘草、陈皮、法半夏、木香、砂仁、麸炒枳壳、姜厚朴、豆蔻、醋香附、广藿香、南山楂、六神曲（麸炒）、炒麦芽、炒莱服子	健脾和胃，理气化湿
铁苋菜、鱼腥草、石榴皮、石菖蒲、姜半夏、甘草	清热解毒，化湿和胃
蒲黄、丹参、地黄、墨旱莲、菊花、黄芩（炒炭）、决明子、车前子、茺蔚子、女贞子、夏枯草、龙胆、郁金、木贼、赤芍、牡丹皮、山楂、当归、川芎	凉血止血，滋阴化瘀，养肝明目
麻黄、石膏、苦杏仁、桔梗、百部、罂粟壳、甘草	宣通肺气，止咳平喘
紫苏子、瓜蒌仁、茯苓、鱼腥草、苦杏仁、半夏（制）、款冬花、桑白皮、前胡、紫菀、陈皮、甘草	宣肺化痰，止咳平喘
小叶榕干浸膏、马来酸氯苯那敏	镇咳平喘，消炎祛痰
大黄、黄芩、龙胆、黄柏、栀子、知母、升麻、防风、陈皮、白芷、冰片、薄荷脑、地黄、石膏	清胃火
土牛膝、马兰草、车前草、天名精	清热解毒，利咽止痛
人工牛黄、板蓝根、诃子肉、桔梗、猪牙皂、连翘、天花粉、珍珠层粉、广东土牛膝、冰片、山豆根、了哥王	清热解毒，散肿止痛
香附、熟地黄、当归(炒)、川芎、炒白芍、炒白术、泽兰、陈皮、关黄柏、炙甘草	理气和血，补血调经
党参、炒白术、茯苓、炙甘草	益气健脾
党参、麸炒白术、茯苓、炙甘草	益气健脾
土木香、苦参、悬钓子木(去粗皮、心)、山柰	清瘟解表
珍珠层粉水解液、、)天然冰片、硼砂、硼酸	清热解痉，去翳明目
苍术、牛膝、盐黄柏、薏苡仁	清热利湿
海螵蛸、黄连、浙贝母、炒川楝子、苦杏仁、柿霜、吴茱萸（盐水制）、沉香、醋延胡索	调肝和胃，制酸止痛
广藿香、香薷、紫苏叶、白芷、檀香、木瓜、法半夏、厚朴（姜炙）、大腹皮、陈皮、白术（麸炒）、桔梗、茯苓、槟榔、枳壳（麸炒）、山楂（炒）、六神曲（麸炒）、麦芽（炒）、白扁豆（去皮）、甘草	祛暑解表，化湿止泻
当归、川芎、白芍、熟地黄	养血调经
熟地黄、当归(酒炒)、川芎、白芍(麸炒)、益母草	补血，活血，调经
当归、川芎、白芍、熟地黄	养血调经
肉豆蔻(煨)、补骨脂(盐炒)、五味子(醋制)、吴茱萸(制)、大枣(去核)	温肾散寒，涩肠止泻
肉豆蔻(煨)、盐补骨脂、醋五味子、制吴茱萸、大枣(去核)、干姜	温肾散寒，涩肠止泻
淡附片、干姜、炙甘草	温中祛寒，回阳救逆
党参、白术（麸炒）、茯苓、麦冬、盐补骨脂、炙甘草、醋五味子	益气固表，健脾补肾
党参、麸炒白术、补骨脂、麸炒山药、黄芪、炮姜、酒当归、炒白芍、醋延胡索、煨木香、地榆炭、煅赤石脂、儿茶、炙甘草	健脾温肾，涩肠止泻
锁阳、菟丝子、肉桂、巴戟天、黄芪、山药、附子、枸杞子、党参、淫羊藿	温肾健脾，填精益气
盐关黄柏、酒黄芩、麸炒椿皮、醋香附、炒白芍、醋龟甲	滋阴清热，固经止带
乌梅、黄连、干姜、木香、罂粟壳、延胡索	调和肝脾，涩肠止痛
熟地黄、附片（黑顺片）、牡丹皮、牛膝、盐补骨脂、砂仁、车前子、茯苓、盐益智仁、肉桂、山药、泽泻、金樱子肉	温肾纳气，健脾化痰
地奥心血康	活血化瘀，行气止痛
地榆炭、蜜槐角、炒槐花、大黄、黄芩、地黄、当归、赤芍、红花、防风、荆芥穗、麸炒枳壳	疏风凉血，泻热润燥
当归、川芎、防风、透骨草	祛风散寒，活血止痛
益母草、当归、赤芍、丹参、郁金、牛膝、枳壳、木香、荆芥炭、姜炭、茜草	活血行气，止血调经
酒女贞子、覆盆子、菟丝子、枸杞子、制何首乌、龟甲、地骨皮、南沙参、麦冬、炒酸枣仁、地黄、白芍、赤芍、当归、鸡血藤、珍珠母、石斛、菊花、墨旱莲、桑叶、白薇、知母、黄芩	滋补肝肾，养血安神
熟地黄、黄连、白芍、黄芩、阿胶、茯苓	滋阴清热，安神除烦
鲜垂盆草	清热解毒，活血利湿
制何首乌、熟地黄、天冬、醋龟甲、鹿茸、酒苁蓉、肉桂、赤芍、全蝎、烫水蛭、地龙、炒山楂、茯苓、炙甘草	益肾填精，息风通络
炙黄芪、陈皮、炙甘草、炒白术、北沙参、茯苓、酒当归、麦冬、川芎、炒酸枣仁、酒白芍、砂仁、杜仲炭、核桃仁、盐胡芦巴、醋艾炭、龙眼肉、山茱萸（制）、制远志、熟地黄、五味子（蒸）	补气血，滋肝肾
玄参、地黄、麦冬	养阴生津，清热润燥
酒女贞子、黄精、熟地黄、金樱子、狗脊、制何首乌、千斤拔	壮腰健肾
淫羊藿、熟地黄、鹿衔草、骨碎补（炙）、肉苁蓉、鸡血藤、红参、狗骨、茯苓、威灵仙、豨莶草、葛根、醋延胡索、山楂、洋金花	补益肝肾，强筋壮骨，活络止痛
狗脊、淫羊藿、独活、骨碎补、续断、补骨脂、桑寄生、鸡血藤、熟地黄、木香、乳香（醋炙）、没药（醋炙）	补益肝肾，养血活血，舒筋活络，理气止痛
丹参、三七、冰片	活血化瘀，理气止痛
仙鹤草、黄连、木香、蝉蜕、石菖蒲、桔梗	清热燥湿，健脾止泻
金银花、连翘、穿心莲、板蓝根	清热解毒，利咽消肿
夏天无、夏天无总碱、制草乌、人工麝香、、蕲蛇、独活、豨签草、安痛藤、威灵仙、丹参、鸡矢藤、鸡血藤、山楂叶、牛膝、当归、防己、苍术、五加皮、川芎、没药（制）、秦艽、羌活、木香、赤芍、防风、骨碎补、制马钱子、僵蚕、全蝎、麻黄、三七、冰片	祛风逐湿，舒筋活络，行血止痛
大青叶、金银花、羌活、拳参、大黄	疏风清热，解毒消肿，凉血利胆
川芎、当归	活血化瘀，通脉止痛
麻黄浸膏适量、川贝母、陈皮、桔梗、五味子、甘草浸膏、法半夏、远志	宣肺化痰，止咳平喘
扶芳藤、黄芪、红参	益气补血，健脾养心
杏香兔耳风、白术（漂）	清热化湿，祛瘀生新
苍术、白术、神曲茶、广山楂、薏苡仁、小槐花	健脾利湿，开胃导滞
滇鸡血藤膏粉、川牛膝、续断、红花、黑豆	活血养血，益肾
满山红、百部、罂粟壳、桔梗、远志	止咳，祛痰，平喘
熊胆粉、天然冰片	清热降火，退翳明目
人工牛黄、黄芩、栀子、朱砂、珍珠母、郁金、雄黄、冰片、石膏、水牛角浓缩粉、盐酸小檗碱	清热解毒，镇静安神
大黄、炒牵牛子、栀子（姜炙）、石膏、芒硝、黄芩、黄连、连翘、炒山楂、陈皮、姜厚朴、枳实、香附、猪牙皂、荆芥穗、薄荷、防风、菊花、白芷、桔梗、玄参、甘草、人工牛黄、冰片	清热泻火，解毒通便
白附子、地龙、全蝎、僵蚕、川芎、白芷、当归、赤芍、防风、生姜、樟脑、冰片、薄荷脑、麝香草酚	祛风活血，舒经活络
珍珠、五倍子、苍术、甘草	燥湿，生肌止痛
煅石决明、龙骨（煅）、煅白石脂、煅石膏、珍珠、人工麝香、冰片	收湿敛疮，生肌长肉
山银花、蒲公英、黄芩、黄柏、猪胆粉、地黄、玄参、水牛角浓缩粉、山羊角、当归尾、赤芍、酒大黄、川木通、珍珠层粉、北沙参	清热解毒，凉血消斑
瓜子金、大青叶、野菊花、海金沙、白花蛇舌草、紫花地丁	清热利咽，散结止痛，祛痰止咳
皂矾西洋参海马肉桂大枣（去核）核桃仁	温肾健髓，益气养阴，生血止血
益母草、熟地黄、当归	调经活血，祛瘀生新
茵陈、板蓝根、龙胆、野菊花、蒲公英、山豆根、垂盆草、蝉蜕、苦杏仁、人工牛黄、夏枯草、车前子、土茯苓、胡黄连、牡丹皮、丹参、红花、大黄、香附、青皮、枳壳、槟榔、鸡内金、人参、桂枝、五味子、柴胡、炙甘草	清热利湿，疏肝理脾，化瘀散结
水飞蓟素、五味子	益肝滋肾，解毒祛湿
石韦、黄芪、苦参、篇蓄	清热燥湿，利尿通淋
山羊角、川芎、白芷、制川乌	平肝熄风，通络止痛
羚羊角、夏枯草、黄芩、槲寄生	平肝泄热
金银花、黄芩、连翘、板蓝根	辛凉解表，清热解毒
苦参、黄连、黄芩、白芍、车前子、金银花、甘草、颠茄流浸膏	清热燥湿止泻
肿节风浸膏、薄荷脑、薄荷素油	疏风清热，消肿止痛，清利咽喉
干蟾、黄芪、白果、紫菀、苦杏仁、前胡、附片、南五味子、黑胡椒	补气敛肺，止咳平喘，温化痰饮
三七、黄芪、丹参、玄参	活血化瘀，益气养阴
广金钱草、车前草、光石韦、玉米须	清热利湿，通淋排石
连翘、蒲公英、黄芩、金银花、板蓝根	清热疏风，解毒利咽
陈皮、木香、石菖蒲、大黄、碳酸氢钠、重质碳酸镁、氢氧化铝	行气和胃，制酸止痛
青黛、乌梅、蒲公英、紫草、白芷、丹参、白鲜皮、建曲、绵马贯众、土茯苓、马齿苋、绵萆薢、焦山楂、南五味子（酒蒸）	清热凉血，解毒消斑
鱼腥草、黄芩、板蓝根、连翘、金银花	清热解毒
鱼腥草、板蓝根、连翘、金银花	清热解毒
鲜竹沥、、生半夏、生姜、枇杷叶、桔梗、薄荷素油	清热化痰，止咳
连翘、黄柏、金银花、蒲公英、蜈蚣	清热解毒，消肿祛腐
盐酸小檗碱、木香、吴茱萸、白芍	清热燥湿，行气止痛，止痢止泻
龙血竭、三七、冰片	活血化瘀，通窍止痛
